127.0.0.1 - - [06/Dec/2021:03:47:19 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:21 +0700] "GET /webbanmatkinh/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:23 +0700] "GET /webbanmatkinh/trang-chu HTTP/1.1" 200 25687
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:23 +0700] "GET /webbanmatkinh/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:23 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:23 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:23 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:23 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:23 +0700] "GET /webbanmatkinh/template/web/images/favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:26 +0700] "GET /webbanmatkinh/san-pham/danh-sach?&page=1&limit=6 HTTP/1.1" 200 32273
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:26 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:26 +0700] "GET /webbanmatkinh/san-pham/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:26 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:26 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:26 +0700] "GET /webbanmatkinh/template/web/images/all-bg-title.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:44 +0700] "GET /webbanmatkinh/san-pham/danh-sach?&page=1&limit=6 HTTP/1.1" 200 32591
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:44 +0700] "GET /webbanmatkinh/san-pham/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:44 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:44 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:44 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:44 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Dec/2021:03:47:44 +0700] "GET /webbanmatkinh/template/web/images/all-bg-title.jpg HTTP/1.1" 404 682
